"무더위쉼터명,위도,경도,전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"밤고개 마을회관 정자,36.638597,128.362844,054-650-6608,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"고림리 마을회관 정자,36.6510904,128.3592962,054-650-6608,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"죽안리 마을회관,36.6657395,128.3453171,054-650-6608,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"마천리 마을회관,36.6790969,128.3492335,054-650-6608,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"화지2리 마을회관,36.6360865,128.4022491,054-650-6608,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"산합2교 교량하부,36.5742758,128.4781549,054-650-6607,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"괘랑4리 경로당,37.1727372,126.9833739,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"예천읍행정복지센터,36.6568843,128.4527962,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"벌말경로당,36.2967118,127.3785408,042-288-2119,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"감천면사무소,36.7219775,128.5274887,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포리복지회관,36.7212508,128.5262611,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"감천경로당,36.7212508,128.5262611,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포2리경로당,36.7124248,128.5197552,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"포1리경로당,36.7232585,128.5284901,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동중4리경로당,35.7294342,126.7356986,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"동중6구경로당,35.7303477,126.7336219,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"부안노휴재,35.732012,126.734275,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상원경로당,35.7308953,126.7386647,063-580-4572,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하림1구경로당,35.7486141,128.1558584,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하림2구경로당,35.7457831,128.1506701,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"야로부녀경로당,35.7052365,128.1699047,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하빈부녀경로당,35.7092518,128.1781355,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"변주실마을회관,35.7432071,128.1443849,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상나대경로당,35.7416415,128.1739817,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
